+-----+------------+----------+-----------+-----+-------------+-----------------+---------------+----------------------+--------------------+---------------------+-------------------+-------------------+------------------+
| did | num_values | iomethod | ioworkers | eic | query_order | master_uncached | master_cached | patched_off_uncached | patched_off_cached | patched_on_uncached | patched_on_cached | patched_off_coeff | patched_on_coeff |
| 11  | 2          | worker   | 12        | 16  | desc        | 1.109           | 0.0472        | 1.2812               | 0.059              | 1.3214              | 0.0512            | 115.527502254283  | 119.152389540126 |
| 5   | 1          | worker   | 12        | 16  | asc         | 0.9148          | 0.0494        | 1.145                | 0.0532             | 1.09                | 0.045             | 125.163970266725  | 119.151727153476 |
| 22  | 128        | worker   | 12        | 16  | asc         | 2.9408          | 0.193         | 3.1646               | 0.234              | 3.5036              | 0.223             | 107.610174102285  | 119.137649619151 |
| 11  | 8192       | worker   | 12        | 16  | desc        | 11.8226         | 4.0906        | 12.6434              | 4.0986             | 14.082              | 4.0454            | 106.942635291729  | 119.110855480182 |
| 28  | 2048       | worker   | 12        | 16  | desc        | 4.1042          | 0.5792        | 4.48                 | 0.5856             | 4.8858              | 0.7254            | 109.15647385605   | 119.043906242386 |
| 22  | 2048       | worker   | 12        | 16  | asc         | 7.0084          | 1.9168        | 6.6692               | 2.287              | 8.3396              | 2.2424            | 95.1600936019634  | 118.994349637578 |
| 16  | 2048       | worker   | 12        | 16  | desc        | 3.5916          | 0.7068        | 4.0034               | 0.5724             | 4.2738              | 0.6734            | 111.465642053681  | 118.994320080187 |
| 5   | 16384      | worker   | 12        | 16  | asc         | 17.986          | 7.8644        | 19.0246              | 7.868              | 21.3928             | 8.8358            | 105.774491270989  | 118.941398865784 |
| 10  | 4096       | worker   | 12        | 16  | asc         | 7.8064          | 2.143         | 7.7872               | 1.9654             | 9.2814              | 2.0474            | 99.7540479606477  | 118.89475302316  |
| 9   | 16384      | worker   | 12        | 16  | asc         | 13.8878         | 7.539         | 14.4364              | 8.9704             | 16.4912             | 8.3294            | 103.950229698008  | 118.745949682455 |
| 17  | 2          | io_uring | 12        | 16  | asc         | 1.098           | 0.0516        | 1.2442               | 0.0474             | 1.3026              | 0.0574            | 113.315118397086  | 118.633879781421 |
| 26  | 8192       | worker   | 12        | 16  | asc         | 8.1952          | 2.1936        | 8.8312               | 2.1352             | 9.7196              | 2.2496            | 107.760640374854  | 118.601132370168 |
| 13  | 1024       | io_uring | 12        | 16  | asc         | 3.3112          | 0.3542        | 3.6152               | 0.3232             | 3.9244              | 0.342             | 109.180961584924  | 118.5189659338   |
| 10  | 2048       | worker   | 12        | 16  | desc        | 7.1312          | 0.9866        | 7.3332               | 1.0516             | 8.4516              | 1.2724            | 102.832622840476  | 118.515817814674 |
